Name,Image,Bio
Brian Herbert,"https://columbus2020nasfic.org/assets/images/brian-herbert.jpeg","Brian Herbert, the son of famed science fiction author Frank Herbert, is the author of multiple New York Times bestsellers. He has won several literary honors and has been nominated for the highest awards in science fiction. In 2003, he published <em>Dreamer of Dune</em>, a moving biography of his father that was a Hugo Award finalist. His other acclaimed novels include <em>Sidney’s Comet</em>, <em>Sudanna Sudanna</em>, <em>The Race for God</em>, and <em>Man of Two Worlds</em> (written with Frank Herbert), in addition to the Hellhole trilogy and twelve Dune series novels coauthored with Kevin J. Anderson."
Kevin J. Anderson,"https://columbus2020nasfic.org/assets/images/kevin-j-anderson.jpeg","Kevin J. Anderson has published more than 165 books, 56 of which have been national or international bestsellers.  He has written numerous novels in the <em>Star Wars</em>, <em>X-Files</em>, and <em>Dune</em> universes, as well as steampunk fantasy novels <em>Clockwork Angels</em> and <em>Clockwork Lives</em>, written with legendary rock drummer Neil Peart. His original works include the <em>Saga of Seven Suns</em> series, the <em>Terra Incognita</em> fantasy trilogy, and his humorous horror series featuring Dan Shamble, Zombie PI. He has edited numerous anthologies, written comics and games. Anderson and his wife Rebecca Moesta are the publishers of WordFire Press. His most recent novels are <em>Stake</em>, <em>Kill Zone</em>, and <em>Spine of the Dragon</em>."
Stephanie Law,"https://columbus2020nasfic.org/assets/images/stephanie-law.jpeg","Stephanie Law is a multi-media artist and illustrator from California. Primarily working in watercolor, gold and silver leaf, and ink, she adds texture and dimension both within her pictures and in the frames of them. Stephanie has been a dancer for almost two decades, and she uses her experience of how the human body moves and emotes to create a bridge into her artwork, not only to depict humans, but also trees, other plants, insects, ephemeral guides and strange creatures. Early on, her career moved through the illustration and gaming world, but in recent decades she has focused more on her own body of work, gallery shows, and publications. She taught The Fantastic Workshop of Nashville, TN in 2016 and 2018, and won Best in Show at Dragoncon in 2015 for <em>When Flowers Dream</em>."
Christopher J. Garcia,"https://columbus2020nasfic.org/assets/images/christopher-j-garcia.jpeg","Christopher J Garcia is a writer, filmmaker, festival programmer,curator, historian, podcaster, and painter from Boulder Creek, CA. He’s won a couple of Hugos, has a couple of kids, and is an all-around enthusiast."
Marc Millis,"https://columbus2020nasfic.org/assets/images/marc-millis.jpeg","See <a href='https://www.youtube.com/watch?v=9doOLHeW8p4'>his TEDx Brussels talk “Building ‘Icarus’”</a>!"
Sue and Steve Francis,"https://columbus2020nasfic.org/assets/images/sue-and-steve-francis.jpg","Sue and Steve Francis contributed greatly to the long-running success of RiverCon in Louisville, Kentucky. They are also recognized for their fan writing, and were the Down Under Fan Fund (DUFF) delegates from North America to Australia in 2008."
Tom Smith,"https://columbus2020nasfic.org/assets/images/tom-smith.jpeg","For 35 years, Tom Smith has been the morel conches of filk – that is, he’s in the dark a lot and makes weird noises when you hold him to your ear. However, he does have two dozen albums, fourteen Pegasus Awards for excellence in filk, a spot in the Filk Hall of Fame, and a decent collection of movies, games, comics, and Lego, so we took pity and let him in. He’ll have at least two concerts this weekend, filled with ludicrous whimsy, dark romance, and multilingual puns. You have been warned."
Eric Flint,"https://columbus2020nasfic.org/assets/images/eric-flint.jpeg","Eric Flint’s writing career began with the science fiction novel <em>Mother of Demons</em>. With David Drake, he has collaborated on the six-volume <em>Belisarius</em> series, as well as a novel entitled <em>The Tyrant</em>. His alternate history novel <em>1632</em> was published in 2000, and has led to a long-running series with many novels and anthologies in print. In addition, he’s written a number of science fiction and fantasy novels. He now has more than sixty novels in print as well as many pieces of short fiction and dozens of anthologies which he’s edited."
Joe Siclari,"https://columbus2020nasfic.org/assets/images/joe-siclari.jpg",
Lizabee Gibson,"https://columbus2020nasfic.org/assets/images/lizabeegibson.jpg","A British folksinger, costumer, and student of history."
